date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:08	12220/12220	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2014%20Dec%202018%2002:30:13%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-regular-400.woff2	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-regular-400.woff2	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:08	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2014%20Dec%202018%2002:30:09%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-regular-400.eot	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-regular-400.eot	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:10	14712/14712	---M--	200	added ('OK')	x-font/woff	date:Fri,%2014%20Dec%202018%2002:30:12%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-regular-400.woff	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-regular-400.woff	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:12	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2014%20Dec%202018%2002:30:09%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-regular-400.eot?	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-regular-400d41d.eot	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:12	107199/107199	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2014%20Dec%202018%2002:30:11%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-regular-400.svg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-regular-400.svg	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:13	30928/30928	---M--	200	added ('OK')	x-font/ttf	date:Fri,%2014%20Dec%202018%2002:30:11%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-regular-400.ttf	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-regular-400.ttf	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:14	98384/98384	---M--	200	added ('OK')	x-font/ttf	date:Fri,%2014%20Dec%202018%2002:30:06%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-brands-400.ttf	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-brands-400.ttf	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:19	38784/38784	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2014%20Dec%202018%2002:30:19%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-solid-900.woff2	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-solid-900.woff2	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:22	48704/48704	---M--	200	added ('OK')	x-font/woff	date:Fri,%2014%20Dec%202018%2002:30:18%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-solid-900.woff	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-solid-900.woff	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:26	102152/102152	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2014%20Dec%202018%2002:30:15%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-solid-900.eot	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-solid-900.eot	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:30	378215/378215	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2014%20Dec%202018%2002:30:18%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-solid-900.svg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-solid-900.svg	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:31	102152/102152	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2014%20Dec%202018%2002:30:15%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-solid-900.eot?	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-solid-900d41d.eot	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:40	101932/101932	---M--	200	added ('OK')	x-font/ttf	date:Fri,%2014%20Dec%202018%2002:30:17%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-solid-900.ttf	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/font-awesome/webfonts/fa-solid-900.ttf	(from http://inventheme.com/themeforest/alexio/static/plugin/font-awesome/css/fontawesome-all.min.css)
11:58:41	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2014%20Dec%202018%2002:30:33%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/themify-icons/fonts/themify.eot?-fvbane	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/themify-icons/fonts/themify9f24.eot	(from http://inventheme.com/themeforest/alexio/static/plugin/themify-icons/themify-icons.css)
11:58:42	56108/56108	---M--	200	added ('OK')	x-font/woff	date:Fri,%2014%20Dec%202018%2002:30:35%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/themify-icons/fonts/themify.woff?-fvbane	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/themify-icons/fonts/themify9f24.woff	(from http://inventheme.com/themeforest/alexio/static/plugin/themify-icons/themify-icons.css)
11:58:42	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2014%20Dec%202018%2002:30:33%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/themify-icons/fonts/themify.eot?	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/themify-icons/fonts/themifyd41d.eot	(from http://inventheme.com/themeforest/alexio/static/plugin/themify-icons/themify-icons.css)
11:58:47	234269/234269	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2014%20Dec%202018%2002:30:34%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/themify-icons/fonts/themify.svg?-fvbane	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/themify-icons/fonts/themify9f24.svg	(from http://inventheme.com/themeforest/alexio/static/plugin/themify-icons/themify-icons.css)
11:58:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202020%2003:58:45%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/owl-carousel/css/owl.video.play.png	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/owl-carousel/css/owl.video.play.35.delayed	(from http://inventheme.com/themeforest/alexio/static/plugin/owl-carousel/css/owl.carousel.min.css)
11:58:49	78584/78584	---M--	200	added ('OK')	x-font/ttf	date:Fri,%2014%20Dec%202018%2002:30:36%20GMT	http://inventheme.com/themeforest/alexio/static/plugin/themify-icons/fonts/themify.ttf?-fvbane	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/plugin/themify-icons/fonts/themify9f24.ttf	(from http://inventheme.com/themeforest/alexio/static/plugin/themify-icons/themify-icons.css)
11:58:50	19896/19896	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Jan%202020%2003:58:49%20GMT	http://www.inventheme.com/themeforest/alexio/static/plugin/owl-carousel/css/owl.video.play.png	C:/wamp64/www/personal2/www.inventheme.com/themeforest/alexio/static/plugin/owl-carousel/css/owl.video.play.36.delayed	(from http://inventheme.com/themeforest/alexio/static/plugin/owl-carousel/css/owl.carousel.min.css)
